Gene	CellType	Rho	PValue	padj	Significance
CDK2	T cells CD4 naive	0.10542315615350815	0.2201760950983653	0.4979367073763031	
CDK2	T cells CD4 memory resting	0.09768186421720537	0.2561328032300165	0.5283008457971359	
CDK2	T cells CD4 memory activated	0.19587882388956518	0.02179252236620157	0.16017503939158154	*
CDK2	T cells follicular helper	-0.20963420487743406	0.013947748233178691	0.1501720363101469	*
CDK2	T cells regulatory (Tregs)	-0.21754751822952165	0.010659779002598574	0.13551569821970688	*
CDK2	T cells gamma delta	NA	NA	NA	
CDK2	NK cells resting	0.07845635609205966	0.3621374861212072	0.626284828939029	
CDK2	NK cells activated	-0.1171318224942428	0.17284213867001044	0.4306405827879921	
CDK2	Monocytes	-0.1034309437066754	0.22906748831955834	0.5025809072085832	
CDK2	Macrophages M0	-0.018182857662913117	0.8329713196400205	0.9070132147191333	
CDK2	Macrophages M1	0.1582682344889025	0.06472268954117653	0.25556305111787725	
CDK2	Macrophages M2	-0.2039701904885923	0.01681514868459979	0.1501720363101469	*
CDK2	Dendritic cells resting	-0.09275402508136234	0.28101748793276704	0.5364879315080098	
CDK2	Dendritic cells activated	-0.0042561211295325686	0.9606320931701191	0.9813439257129742	
CDK2	Mast cells resting	-0.18641781514662986	0.029173879397406406	0.16858176237146075	*
CDK2	Mast cells activated	0.1486270212594811	0.08303601910639041	0.2906260668723665	
CDK2	Eosinophils	0.07711682294811027	0.37041643448511874	0.6331536728989821	
CDK2	Neutrophils	-0.10416113569078221	0.2257797009702718	0.5025809072085832	
TOPBP1	B cells naive	-0.04782889073723152	0.5788870272337843	0.7666341712014981	
TOPBP1	B cells memory	0.07083128419643672	0.4107944836242712	0.6519386980405705	
TOPBP1	Plasma cells	0.008566721597422063	0.920857220531988	0.9699808175193609	
TOPBP1	T cells CD8	-0.16616407081289983	0.052307647226541645	0.2425065146400391	
TOPBP1	T cells CD4 naive	0.10776589295691943	0.21003693708292323	0.4979367073763031	
TOPBP1	T cells CD4 memory resting	0.14360120784038183	0.09411159207878503	0.30743120079069775	
TOPBP1	T cells CD4 memory activated	0.12266594690882278	0.15328853960861452	0.40754706773995675	
TOPBP1	T cells follicular helper	-0.2202512203416403	0.00970425456607506	0.13551569821970688	**
TOPBP1	T cells regulatory (Tregs)	-0.19909355192581601	0.019680784298397848	0.1522671206244465	*
TOPBP1	T cells gamma delta	NA	NA	NA	
TOPBP1	NK cells resting	0.1331354423381349	0.12091488849386162	0.35548977217195316	
TOPBP1	NK cells activated	-0.18832429205384701	0.027535535885760933	0.16858176237146075	*
TOPBP1	Monocytes	-0.06030255359030018	0.4839313636874619	0.686106662081963	
TOPBP1	Macrophages M0	0.05842223106374394	0.4976901025472177	0.686106662081963	
TOPBP1	Macrophages M1	0.0446996124279582	0.6039971139858017	0.7750291669097517	
TOPBP1	Macrophages M2	-0.19948496989344242	0.01943614938970732	0.1522671206244465	*
TOPBP1	Dendritic cells resting	-0.09714668974058467	0.2587595979414543	0.5283008457971359	
TOPBP1	Dendritic cells activated	0.14567446146430357	0.08940853752640808	0.3000458613839207	
TOPBP1	Mast cells resting	-0.062582340968747735	0.46752715941469003	0.686106662081963	
