CellType_Major	mean_expr	median_expr	pct_nonzero	sd_expr	n_cells	gene
Mast	0.05420984596448178	0	5.737704918032787	0.295083800277563	122	FANCI
Endothelial	0.04435394052431844	0	7.063197026022305	0.2698659343190229	269	FANCI
Plasma	0.03865898787276657	0	8.783783783783784	0.1925989738883081	148	FANCI
Fibroblasts	0.032562336541937194	0	5.241935483870968	0.19302366539367674	744	FANCI
Myofibroblasts	0.026292006078117866	0	4.507042253521127	0.19494846241460745	710	FANCI
CD8Tex	0.1688002505415357	0	19.36127744510978	0.5062885058122781	501	KAT2B
Myocyte	0.160325547991855	0	16.666666666666664	0.4329454559885667	18	KAT2B
Mono/Macro	0.14625921751920976	0	20.454545454545457	0.38067406181130115	88	KAT2B
CD8T	0.14559901584401486	0	12.090680100755668	0.5104879447889444	397	KAT2B
Mast	0.08471584389150012	0	9.01639344262295	0.31874719320863265	122	KAT2B
CD4Tconv	0.07849158068393883	0	9.832134292565947	0.3555429440882218	417	KAT2B
Endothelial	0.0450504136271651	0	7.806691449814126	0.23243965274976175	269	KAT2B
Plasma	0.03452744900876854	0	7.4324324324324325	0.190217984188182	148	KAT2B
Fibroblasts	0.031469170895322716	0	4.56989247311828	0.1960746082748753	744	KAT2B
Malignant	0.02014498202118614	0	5.345659163987138	0.12297527249752063	2488	KAT2B
Myofibroblasts	0.02011364308741242	0	2.535211267605634	0.15939307107472228	710	KAT2B
Myocyte	1.1743886894165527	1.4489973304650876	66.66666666666666	1.0177270459781025	18	DEPTOR
Mast	0.2542110521473248	0	13.934426229508196	0.669657963794446	122	DEPTOR
Endothelial	0.10440842265285748	0	8.550185873605948	0.3937523267172225	269	DEPTOR
Mono/Macro	0.10112115667233995	0	12.5	0.35900363668560553	88	DEPTOR
Plasma	0.08977736586997595	0	5.405405405405405	0.42401739447687886	148	DEPTOR
Fibroblasts	0.06667246317588907	0	5.64516129032258	0.31728356861749824	744	DEPTOR
Malignant	0.059926427674621224	0	6.55144694533762	0.28123507551375665	2488	DEPTOR
CD4Tconv	0.032119871155418096	0	3.117505995203837	0.26021861092540227	417	DEPTOR
CD8T	0.011800319295803026	0	0.5037783375314862	0.16619788896242943	397	DEPTOR
Myofibroblasts	0.011060957411433606	0	1.1267605633802817	0.12020035872523348	710	DEPTOR
CD8Tex	0.003816923013991538	0	0.19960079840319359	0.08543429960305088	501	DEPTOR
