gene	coef	HR	HR_lower_95	HR_upper_95	se_coef	z_score	p_value	concordance	concordance_se	n	n_events	age_HR	age_p	stage_HR	stage_p	grade_HR	grade_p	gender_HR	gender_p	model_logtest_p	p_adj	significance
TTI1	0.15153172136011345	1.1636152126814359	0.8101728911380119	1.6712486655555239	0.1847173378992742	0.8203437916734337	0.4120201485447027	0.6301619064944515	0.035487487220330724	192	87	1.027971615119789	0.008485996831364065	2.193435862880599	0.0010430220228440452	1.2033199989992756	0.45772330195922584	0.9010222568806647	0.6762991514609856	0.001040845956747755	0.7425191076932979	ns
RICTOR	0.10688547577745271	1.1128068038473167	0.838152288329161	1.47746298606126	0.1446153830924557	0.7391017019891898	0.45984524344097505	0.6265235583045298	0.03568712776715314	192	87	1.0274181436564087	0.009757189546634093	2.194954601495551	0.0010675137799089013	1.1629025260708858	0.5515383459330798	0.9275560570054652	0.7600513606791707	0.0010951492628173893	0.7425191076932979	ns
H2AX	0.08954735757140919	1.0936791260732632	0.8605622321118864	1.3899448362647417	0.12230668753816738	0.7321542212764514	0.46407444230831113	0.6224304165908677	0.03582794149030132	192	87	1.026455690464092	0.012648673365238852	2.2482666717404047	7.173682257891118e-4	1.1946254154597602	0.4759113544382247	0.9343043581231141	0.7817942585311766	0.0011046873171886393	0.7425191076932979	ns
MSH6	0.1003983821101714	1.1056112861096399	0.7916005754847322	1.5441832078311672	0.1704606426496464	0.5889827736747634	0.5558728294607588	0.6288884846279789	0.036000663799957006	192	87	1.0266139538130026	0.011738795916859732	2.1886802189293024	0.001144431037572856	1.1831684977517614	0.5015187697698655	0.9392079202311535	0.7982465592475697	0.0011937046733545196	0.8338092441911382	ns
POLD1	0.09405984596200144	1.0986254922492908	0.767529685218074	1.572548913045708	0.1829819176531195	0.514039021824613	0.6072247088149471	0.6264325995997817	0.03601691055529689	192	87	1.0269036089104275	0.011144416045169572	2.176486697519223	0.0013865617683456385	1.1756826846566664	0.5214743713289787	0.9183929713558076	0.7315070563207299	0.0012374385028431	0.8572584124446312	ns
KAT2B	0.044913969747485745	1.045937873738614	0.8483000016721871	1.2896216357000638	0.10685650430146071	0.4203204104522796	0.674251401493068	0.6247043842095689	0.03631466171326844	192	87	1.0268527140491808	0.011152007730225445	2.239079389457293	7.717301750550009e-4	1.2032657122996535	0.4578350317040131	0.9259930550022858	0.7551030942234458	0.0012850928456034744	0.8990018686574239	ns
E2F1	-0.027018539390602666	0.9733431961673582	0.7671810368615465	1.2349066674027624	0.12143791188968703	-0.22248850437370854	0.8239336212096546	0.6255230125523012	0.036054272436355894	192	87	1.0269744955673699	0.010982268850905204	2.246003734130435	8.494094855899172e-4	1.2118767758971256	0.44846657826990205	0.9330779689264593	0.7781007694661116	0.001358004176247819	0.9156475558362969	ns
RUVBL1	-0.0388979978757576	0.961848814765097	0.673758667692157	1.373122435120535	0.18162848752562702	-0.21416242796312035	0.8304203944528591	0.6243405493905767	0.03603407588085799	192	87	1.0271699950733526	0.010904826509876744	2.2441526450790015	8.435697112437455e-4	1.1965421412320563	0.4718157555395387	0.9315516382801263	0.773442250113583	0.0013601769099849373	0.9156475558362969	ns
KAT2A	-0.03284477820108598	0.9676887543212168	0.7076551691499108	1.323273772400545	0.15967312533605632	-0.20570010220542223	0.837025178718308	0.6251591777333091	0.03593784099706171	192	87	1.0270057623923128	0.010868202725638874	2.2354836053809555	8.059808400908701e-4	1.2011435217376796	0.46230597861165484	0.9327364225631014	0.7768130594339178	0.0013623140205515291	0.9156475558362969	ns
CHEK2	0.030119206959926054	1.0305773786276762	0.7702313752541066	1.378922967126208	0.14856575487378157	0.2027331735063354	0.8393435928499389	0.6265235583045298	0.035988387791606465	192	87	1.0265586923722838	0.013111306367609743	2.2155530893702267	9.344672838591069e-4	1.1895746236828462	0.491620157812418	0.9383243224808143	0.7961443812700099	0.0013631765727239497	0.9156475558362969	ns
RPTOR	-0.026886243152896557	0.9734719743284532	0.6573267431633754	1.441669146522772	0.20035460758260057	-0.13419328598076846	0.8932497349048873	0.6263416408950336	0.03603696482606665	192	87	1.0267177948643291	0.012114478164118413	2.2240970610212605	8.397024569778455e-4	1.1886736162404523	0.5028959937555122	0.9356352628078696	0.7865072114200915	0.0013767103849793394	0.932086679900752	ns
PARP1	-5.291441484322362e-4	0.9994709958236431	0.6307285042026654	1.5837912268695014	0.23487708512327804	-0.0022528555655163575	0.998202482847063	0.6252501364380572	0.03595294448619368	192	87	1.0268782684826538	0.011358821508334529	2.226726499686835	0.0010229544986606123	1.199415824348922	0.4672608635640548	0.9349700935476141	0.7843237254253194	0.0013874402714531056	0.998202482847063	ns
