gene_symbol	PIKK_Group	GeneRole	regulation	log2FoldChange	pathway_role	composite_score	cutpoint	cut_method	n_high	n_low	logrank_p	logrank_p_adj	uni_HR	uni_HR_lower	uni_HR_upper	uni_p	uni_p_adj	uni_Cindex	mv_HR	mv_HR_lower	mv_HR_upper	mv_p	mv_p_adj	mv_Cindex	survival_significant
POLD1	ATM	Associated	Not significant	0.73987712600354	DNA Repair Effector	-2.01427535185965	4.686	optimal (maxstat)	160	62	0.059535396284990494	0.10991150083382861	1.221211349832011	0.8740705904393039	1.7062205012629164	0.24152738060679363	0.4915621456759989	0.5353613777526821	1.0986254922492908	0.767529685218074	1.572548913045708	0.6072247088149471	0.8572584124446312	0.6264325995997817	No
MSH6	ATM	Associated	Not significant	0.717382127874778	DNA Repair Effector	-2.09043931410007	5.388	optimal (maxstat)	167	55	0.1333036430022635	0.19823486021215683	1.186442944125257	0.8780737613631591	1.6031077588280476	0.26559536405515516	0.4915621456759989	0.5164455110107284	1.1056112861096399	0.7916005754847322	1.5441832078311672	0.5558728294607588	0.8338092441911382	0.6288884846279789	No
RUVBL1	TRRAP	Associated	Not significant	0.769293190943982	Chromatin/Transcription	-1.93990463566816	5.953	optimal (maxstat)	140	82	0.02519343158535714	0.06046423580485713	1.1972848568944086	0.871633612952885	1.6446027404706682	0.2662628289078327	0.4915621456759989	0.5454545454545454	0.961848814765097	0.673758667692157	1.373122435120535	0.8304203944528591	0.9156475558362969	0.6243405493905767	No
PRKDC	PRKDC	Core	Up in Tumor	1.01919397657177	Core PIKK Kinase	3.62003329832562	8.665	optimal (maxstat)	57	165	0.18316389127585953	0.2315134913092043	1.1554105403201556	0.8748444433621719	1.5259553018961745	0.3087528958942023	0.5292906786757753	0.5218097120271034	1.1704258229128233	0.8820684884279651	1.553050159838051	0.2755186820132855	0.6195698547209331	0.633072585046389	No
RPTOR	MTOR	Associated	Not significant	0.522672245608832	Signalling Effector	-1.20103159966747	5.463	optimal (maxstat)	118	104	0.20540443040316847	0.23474792046076395	0.8846255462450233	0.6398470447529577	1.2230459818275006	0.4582488818184141	0.6671099312538809	0.5002823263692828	0.9734719743284532	0.6573267431633754	1.441669146522772	0.8932497349048873	0.932086679900752	0.6263416408950336	No
CHEK2	ATR	Associated	Not significant	0.797373392263063	Checkpoint Regulator	-1.04106879602991	3.907	optimal (maxstat)	74	148	0.1364642166160035	0.19823486021215683	1.0989559172964054	0.8424153139973812	1.433620790237128	0.4866248851860804	0.6671099312538809	0.4919536984754376	1.0305773786276762	0.7702313752541066	1.378922967126208	0.8393435928499389	0.9156475558362969	0.6265235583045298	No
TTI1	MTOR	Associated	Not significant	0.676053398686366	Other	-2.63664323515649	4.614	optimal (maxstat)	159	63	0.19250467416906591	0.2315134913092043	1.1192400660498862	0.8070470776429318	1.5521998160379868	0.4995802668151424	0.6671099312538809	0.5297148503670243	1.1636152126814359	0.8101728911380119	1.6712486655555239	0.4120201485447027	0.7425191076932979	0.6301619064944515	No
PARP1	PRKDC	Associated	Not significant	0.500754881149434	DNA Repair Effector	-1.74828495662829	7.097	optimal (maxstat)	153	69	0.02497446424776717	0.06046423580485713	1.1474384332975271	0.7691839876954408	1.7117035446265672	0.5003324484404107	0.6671099312538809	0.4944946357989837	0.9994709958236431	0.6307285042026654	1.5837912268695014	0.998202482847063	0.998202482847063	0.6252501364380572	No
RICTOR	PRKDC	Associated	Not significant	0.50358432639535	Signalling Effector	-1.32273090409686	4.821	optimal (maxstat)	131	91	0.3111479749243845	0.32467614774718384	1.0842828744341935	0.8278775303578765	1.4201005688402442	0.5566557806951293	0.7031441440359528	0.5179277244494636	1.1128068038473167	0.838152288329161	1.47746298606126	0.45984524344097505	0.7425191076932979	0.6265235583045298	No
H2AX	ATR	Associated	Not significant	0.64969880229186	DNA Repair Effector	1.05381735906273	5.525	optimal (maxstat)	130	92	0.02511916453830021	0.06046423580485713	1.0510083528754888	0.8300549883507442	1.3307775669282353	0.6794986982936436	0.8022387149528968	0.5325381140598532	1.0936791260732632	0.8605622321118864	1.3899448362647417	0.46407444230831113	0.7425191076932979	0.6224304165908677	No
KAT2A	TRRAP	Associated	Not significant	0.624645639253332	Chromatin/Transcription	-2.52509504606453	5.451	optimal (maxstat)	110	112	0.09993088110723725	0.171310081898121	1.0563376062669123	0.7934211648785756	1.4063768245764892	0.7074187254143238	0.8022387149528968	0.5223037831733484	0.9676887543212168	0.7076551691499108	1.323273772400545	0.837025178718308	0.9156475558362969	0.6251591777333091	No
KAT2B	TRRAP	Associated	Down in Tumor	-1.84616045579174	Chromatin/Transcription	1.56352899281395	3.133	optimal (maxstat)	167	55	0.1929279094243369	0.2315134913092043	0.9669192075961885	0.7944407183233951	1.176843951291348	0.7371866894537794	0.8022387149528968	0.5098108413325805	1.045937873738614	0.8483000016721871	1.2896216357000638	0.674251401493068	0.8990018686574239	0.6247043842095689	No
CHEK1	ATR	Associated	Up in Tumor	1.30053282577605	Checkpoint Regulator	1.62627363696488	3.992	optimal (maxstat)	154	68	0.5119946498338168	0.5119946498338168	1.045114479678244	0.7787109566258961	1.4026568733100102	0.7688121018298595	0.8022387149528968	0.5284443817052513	1.1692554259160401	0.8449369864722813	1.6180594209068289	0.3454752236363324	0.6909504472726647	0.6267964344187739	No
E2F1	ATR	Associated	Up in Tumor	1.72599355966001	Checkpoint Regulator	1.34019341733816	3.529	optimal (maxstat)	168	54	0.25851395991840187	0.2820152290018929	1.0194143257020316	0.8197694193019486	1.2676803293436267	0.8627251296301727	0.8627251296301727	0.5035996612083569	0.9733431961673582	0.7671810368615465	1.2349066674027624	0.8239336212096546	0.9156475558362969	0.6255230125523012	No
